"","ID","GENDER","CONFIDENCE1","CONFIDENCE2","CONFIDENCE3","CONFIDENCE4","CONFIDENCE5","CONFIDENCE6","CONFIDENCE7","CONFIDENCE8"
"1",36,"(1) Male",0,20,30,20,30,60,50,30
"2",46,"(0) Female",20,21,20,20,30,69,60,30
"3",47,"(1) Male",0,30,50,25,40,58,76,40
"4",53,"(1) Male",60,70,75,80,20,40,20,25
"5",62,"(0) Female",50,33,55,45,45,50,10,33
"6",78,"(0) Female",75,50,50,35,75,60,65,60
"7",79,"(0) Female",65,65,70,50,50,70,75,35
"8",80,"(0) Female",75,82,65,75,85,85,50,50
"9",135,"(1) Male",1,0,0,1,2,2,10,0
"10",179,"(1) Male",100,90,90,90,100,95,90,90
"11",199,"(1) Male",100,90,100,85,90,90,80,100
"12",218,"(0) Female",75,70,50,70,70,50,50,25
"13",219,"(0) Female",40,60,60,70,30,30,90,25
"14",228,"(0) Female",55,35,45,35,33,40,40,25
"15",231,"(1) Male",23,20,40,24,30,67,80,45
"16",251,"(0) Female",0,15,25,10,25,10,50,10
"17",268,"(1) Male",60,70,65,70,75,65,50,40
"18",273,"(1) Male",24,20,14,20,20,48,20,30
"19",300,"(1) Male",10,40,20,10,0,40,20,5
"20",312,"(0) Female",2,20,15,35,1,1,2,20
"21",324,"(0) Female",50,40,80,50,40,90,80,50
"22",340,"(1) Male",5,5,75,20,10,20,10,25
"23",360,"(0) Female",70,65,60,40,30,70,70,50
"24",378,"(1) Male",40,80,50,50,50,80,30,75
"25",382,"(1) Male",50,65,60,60,65,40,60,60
"26",393,"(0) Female",50,25,40,1,0,40,40,0
"27",404,"(1) Male",70,40,50,50,75,50,60,30
"28",424,"(0) Female",80,50,80,80,0,100,60,50
"29",441,"(1) Male",50,35,50,20,15,35,35,35
"30",445,"(0) Female",40,65,35,50,20,40,60,35
"31",460,"(0) Female",50,50,50,50,50,50,50,60
"32",465,"(0) Female",0,0,40,0,0,50,0,0
"33",468,"(1) Male",4,50,50,50,20,20,50,30
"34",471,"(0) Female",0,0,50,0,0,0,10,50
"35",491,"(0) Female",75,50,50,50,50,30,80,50
"36",493,"(1) Male",50,50,50,80,50,50,40,50
"37",509,"(0) Female",0,0,30,0,20,20,30,0
"38",513,"(0) Female",25,0,50,10,75,50,70,25
"39",539,"(0) Female",60,50,60,45,60,50,40,40
"40",553,"(0) Female",10,20,0,0,0,1,10,0
"41",561,"(1) Male",20,15,0,2,0,40,50,60
"42",569,"(1) Male",40,20,50,55,70,63,70,80
"43",617,"(1) Male",65,50,60,60,60,40,50,25
"44",618,"(0) Female",15,5,10,5,15,2,5,10
"45",641,"(0) Female",12,10,10,25,2,60,0,5
"46",662,"(0) Female",75,85,72,65,70,68,65,55
"47",678,"(0) Female",40,30,10,40,50,40,30,0
"48",679,"(1) Male",77,75,75,65,77,75,88,80
"49",680,"(0) Female",25,25,44,45,78,60,55,76
"50",686,"(0) Female",5,60,0,0,0,30,10,10
"51",696,"(0) Female",20,50,80,20,20,20,60,40
"52",720,"(0) Female",15,5,0,5,0,0,0,0
"53",733,"(0) Female",50,15,20,50,35,50,40,30
"54",737,"(0) Female",50,40,40,50,50,20,40,10
"55",745,"(0) Female",85,25,15,65,65,55,65,55
"56",758,"(0) Female",85,75,70,70,60,50,60,75
"57",760,"(1) Male",30,30,30,20,50,35,50,30
"58",770,"(0) Female",60,50,60,35,30,30,60,30
"59",811,"(1) Male",75,75,90,75,90,90,85,75
"60",818,"(0) Female",75,5,70,75,40,10,20,25
"61",822,"(0) Female",40,25,50,45,0,50,50,50
"62",832,"(0) Female",10,60,40,60,70,85,50,60
"63",839,"(0) Female",50,50,50,25,10,25,10,20
"64",845,"(1) Male",0,10,0,25,30,0,0,25
"65",851,"(0) Female",50,50,50,50,50,50,50,50
"66",871,"(0) Female",67,60,65,75,75,65,50,50
"67",891,"(0) Female",25,25,40,23,45,68,75,50
"68",907,"(0) Female",100,90,100,80,50,50,30,30
"69",923,"(1) Male",50,75,50,50,70,75,40,75
"70",955,"(0) Female",20,20,30,10,5,10,5,5
"71",964,"(0) Female",20,10,50,0,0,0,60,10
"72",965,"(0) Female",30,20,25,25,0,10,25,50
"73",986,"(1) Male",75,65,90,50,0,50,100,65
"74",996,"(1) Male",80,85,80,80,65,85,90,50
"75",1010,"(0) Female",20,0,50,0,90,50,0,0
"76",1014,"(0) Female",5,0,50,20,30,25,25,50
"77",1034,"(1) Male",60,50,70,70,80,0,30,50
"78",1038,"(0) Female",50,75,75,90,75,90,99,50
"79",1066,"(1) Male",90,75,85,85,85,80,60,75
"80",1085,"(0) Female",0,0,25,20,20,0,50,0
"81",1099,"(1) Male",60,60,50,65,80,60,75,70
"82",1130,"(1) Male",75,75,67,65,75,70,60,65
"83",1169,"(0) Female",0,0,10,0,0,0,0,0
"84",1377,"(1) Male",70,70,75,50,50,50,70,55
"85",1404,"(1) Male",0,5,0,20,0,0,10,10
"86",1407,"(1) Male",0,25,30,25,10,10,45,10
"87",1516,"(1) Male",50,40,50,50,50,50,75,25
"88",1528,"(0) Female",50,20,0,50,25,50,0,40
"89",1589,"(1) Male",25,50,70,65,55,75,80,50
"90",1810,"(1) Male",50,20,50,50,25,65,65,10
