ID,confidence,logC,T,G
1,0,-4.615120517,1,1
1,20,2.9963493671,2,1
1,30,3.4016667551,3,1
1,20,2.9963493671,4,1
1,30,3.4016667551,5,1
1,60,4.0947509837,6,1
1,50,3.9124150854,7,1
1,30,3.4016667551,8,1
2,100,4.6151205168,1,1
2,90,4.5008192615,2,1
2,90,4.5008192615,3,1
2,90,4.5008192615,4,1
2,100,4.6151205168,5,1
2,95,4.5556297404,6,1
2,90,4.5008192615,7,1
2,90,4.5008192615,8,1
3,100,4.6151205168,1,1
3,90,4.5008192615,2,1
3,100,4.6151205168,3,1
3,85,4.4433862804,4,1
3,90,4.5008192615,5,1
3,90,4.5008192615,6,1
3,80,4.3826216957,7,1
3,100,4.6151205168,8,1
4,75,4.3180008026,1,0
4,70,4.2489559654,2,0
4,50,3.9124150854,3,0
4,70,4.2489559654,4,0
4,70,4.2489559654,5,0
4,50,3.9124150854,6,0
4,50,3.9124150854,7,0
4,25,3.2194020022,8,0
5,40,3.6892892062,1,0
5,60,4.0947509837,2,0
5,60,4.0947509837,3,0
5,70,4.2489559654,4,0
5,30,3.4016667551,5,0
5,30,3.4016667551,6,0
5,90,4.5008192615,7,0
5,25,3.2194020022,8,0
6,55,4.0077283641,1,0
6,35,3.5557808682,2,0
6,45,3.8070592365,3,0
6,35,3.5557808682,4,0
6,33,3.496953095,5,0
6,40,3.6892892062,6,0
6,40,3.6892892062,7,0
6,25,3.2194020022,8,0
7,23,3.1360514742,1,1
7,20,2.9963493671,2,1
7,40,3.6892892062,3,1
7,24,3.1785948095,4,1
7,30,3.4016667551,5,1
7,67,4.2051315046,6,1
7,80,4.3826216957,7,1
7,45,3.8070592365,8,1
8,0,-4.615120517,1,0
8,15,2.7088250946,2,0
8,25,3.2194020022,3,0
8,10,2.3036833907,4,0
8,25,3.2194020022,5,0
8,10,2.3036833907,6,0
8,50,3.9124150854,7,0
8,10,2.3036833907,8,0
9,60,4.0947509837,1,1
9,70,4.2489559654,2,1
9,65,4.174814529,3,1
9,70,4.2489559654,4,1
9,75,4.3180008026,5,1
9,65,4.174814529,6,1
9,50,3.9124150854,7,1
9,40,3.6892892062,8,1
10,24,3.1785948095,1,1
10,20,2.9963493671,2,1
10,14,2.6398780108,3,1
10,20,2.9963493671,4,1
10,20,2.9963493671,5,1
10,48,3.8715940154,6,1
10,20,2.9963493671,7,1
10,30,3.4016667551,8,1
11,10,2.3036833907,1,1
11,40,3.6892892062,2,1
11,20,2.9963493671,3,1
11,10,2.3036833907,4,1
11,0,-4.615120517,5,1
11,40,3.6892892062,6,1
11,20,2.9963493671,7,1
11,5,1.6115190786,8,1
12,20,2.9963493671,1,0
12,21,3.0451174987,2,0
12,20,2.9963493671,3,0
12,20,2.9963493671,4,0
12,30,3.4016667551,5,0
12,69,4.2345593006,6,0
12,60,4.0947509837,7,0
12,30,3.4016667551,8,0
13,2,0.6981849746,1,0
13,20,2.9963493671,2,0
13,15,2.7088250946,3,0
