_Imputation_,ID,CONFIDENCE1,CONFIDENCE2,CONFIDENCE3,CONFIDENCE4,CONFIDENCE5,CONFIDENCE6,CONFIDENCE7,CONFIDENCE8,GENDER,logC1,logC2,logC3,logC4,logC5,logC6,logC7,logC8
1,16,0,0,,,,0,,,0,-4.615120517,-4.615120517,-2.254536529,-1.090141123,-8.307704318,-4.615120517,-4.949491835,-4.191070978
1,36,0,20,30,20,30,60,50,30,1,-4.615120517,2.9963493671,3.4016667551,2.9963493671,3.4016667551,4.0947509837,3.9124150854,3.4016667551
1,47,0,30,50,25,40,58,76,40,1,-4.615120517,3.4016667551,3.9124150854,3.2194020022,3.6892892062,4.0608438925,4.3312595176,3.6892892062
1,112,0,0,20,40,50,,,,0,-4.615120517,-4.615120517,2.9963493671,3.6892892062,3.9124150854,0.4638879608,4.3999025474,-0.410000013
1,163,0,25,50,20,,,,,0,-4.615120517,3.2194020022,3.9124150854,2.9963493671,5.0854607276,2.974991784,1.5878892417,3.5881702912
1,175,0,60,10,40,35,,,,0,-4.615120517,4.0947509837,2.3036833907,3.6892892062,3.5557808682,7.521490138,3.7514210677,2.6808138181
1,251,0,15,25,10,25,10,50,10,0,-4.615120517,2.7088250946,3.2194020022,2.3036833907,3.2194020022,2.3036833907,3.9124150854,2.3036833907
1,403,0,,50,,,,,,1,-4.615120517,2.0407073516,3.9124150854,1.0908078738,-1.735063893,1.8318336473,0.7308234073,2.6047145863
1,423,0,,0,30,,,,25,0,-4.615120517,1.7599224806,-4.615120517,3.4016667551,2.0965642896,1.7484089733,1.3920809338,3.2194020022
1,465,0,0,40,0,0,50,0,0,0,-4.615120517,-4.615120517,3.6892892062,-4.615120517,-4.615120517,3.9124150854,-4.615120517,-4.615120517
1,471,0,0,50,0,0,0,10,50,0,-4.615120517,-4.615120517,3.9124150854,-4.615120517,-4.615120517,-4.615120517,2.3036833907,3.9124150854
1,478,0,,,,,0,0,,0,-4.615120517,-5.315203006,-6.897830916,-3.522423342,-6.808774226,-4.615120517,-4.615120517,-4.151284021
1,488,0,0,0,0,,,,,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-6.533828129,-6.932383648,-2.556208536,-4.814096436
1,509,0,0,30,0,20,20,30,0,0,-4.615120517,-4.615120517,3.4016667551,-4.615120517,2.9963493671,2.9963493671,3.4016667551,-4.615120517
1,511,0,0,20,5,,2,60,,0,-4.615120517,-4.615120517,2.9963493671,1.6115190786,3.3798275183,0.6981849746,4.0947509837,-3.88698716
1,533,0,10,5,30,,80,,,0,-4.615120517,2.3036833907,1.6115190786,3.4016667551,-1.017201695,4.3826216957,2.7997050566,3.3494494439
1,636,0,0,,,,,,0,0,-4.615120517,-4.615120517,-2.327090884,-0.475725941,1.1494457535,-2.715863218,-2.828319303,-4.615120517
1,637,0,0,0,0,5,0,10,,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,1.6115190786,-4.615120517,2.3036833907,-4.34251218
1,653,0,0,,,,,,,0,-4.615120517,-4.615120517,-5.24724092,-2.457374229,0.3411679325,-2.82468382,0.4723000829,-1.706446705
1,660,0,10,1,25,25,50,,,0,-4.615120517,2.3036833907,0.0099503309,3.2194020022,3.2194020022,3.9124150854,8.358252364,3.4470720193
1,719,0,0,0,0,0,0,,,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-1.419975349,-4.659057444
1,739,0,30,20,50,40,,,,0,-4.615120517,3.4016667551,2.9963493671,3.9124150854,3.6892892062,1.8607532271,5.4675319974,4.9858443707
1,755,0,,0,0,0,,0,1,0,-4.615120517,-2.020470206,-4.615120517,-4.615120517,-4.615120517,-3.484865633,-4.615120517,0.0099503309
1,772,0,0,50,0,20,,,,0,-4.615120517,-4.615120517,3.9124150854,-4.615120517,2.9963493671,-2.439408762,3.0173250461,-6.054138259
1,777,0,10,50,5,0,,,,0,-4.615120517,2.3036833907,3.9124150854,1.6115190786,-4.615120517,2.2480498146,0.1526380931,2.5376103192
1,782,0,,,75,,,2,,0,-4.615120517,-1.190722647,0.7873212768,4.3180008026,-3.877395969,-1.367024133,0.6981849746,0.2807464132
1,786,0,,,,,10,20,,0,-4.615120517,-0.40487618,0.4979482741,1.2608758331,-2.228279286,2.3036833907,2.9963493671,2.0177807539
1,820,0,0,0,0,0,0,0,,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-6.478363796
1,845,0,10,0,25,30,0,0,25,1,-4.615120517,2.3036833907,-4.615120517,3.2194020022,3.4016667551,-4.615120517,-4.615120517,3.2194020022
1,869,0,,,,,,,,0,-4.615120517,-1.881501936,-2.432566363,-3.35581499,-0.505128154,-1.489205423,-1.979834035,-1.340705344
1,883,0,,,,,,,0,0,-4.615120517,-3.393674769,-3.068474745,-1.901079099,-4.117717198,-4.809818407,-3.226616977,-4.615120517
1,885,0,,,,,,,0,1,-4.615120517,-3.526792915,-0.937351886,1.553617361,-0.376133438,-0.918240487,-2.091275532,-4.615120517
1,903,0,,,,,10,5,,0,-4.615120517,1.6715083818,3.4534581282,-0.474970763,-2.074464362,2.3036833907,1.6115190786,0.9076417041
1,949,0,25,1,,0,,,,0,-4.615120517,3.2194020022,0.0099503309,-0.891048186,-4.615120517,3.4274893221,1.2205364678,-0.726110917
1,991,0,0,0,0,0,,,,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-3.551972619,-4.526905299,-7.601167146
1,1003,0,,1,0,0,,,,1,-4.615120517,-3.5578649,0.0099503309,-4.615120517,-4.615120517,-4.17735101,-4.46600888,-2.637731108
1,1024,0,,,,,,0,,1,-4.615120517,-5.470585102,-2.002754388,-2.860784457,-1.383758851,-3.086749595,-4.615120517,0.3337543259
1,1025,0,0,0,0,60,20,,,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,4.0947509837,2.9963493671,-1.251903359,-3.880078988
1,1072,0,,,,,,,,0,-4.615120517,-0.781268349,-4.866190073,-2.412195866,-3.261724518,-0.911632642,-0.784048041,0.2558333775
1,1085,0,0,25,20,20,0,50,0,0,-4.615120517,-4.615120517,3.2194020022,2.9963493671,2.9963493671,-4.615120517,3.9124150854,-4.615120517
1,1097,0,0,0,0,,0,0,0,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-13.84159927,-4.615120517,-4.615120517,-4.615120517
1,1159,0,0,,,,,,,0,-4.615120517,-4.615120517,-3.285760678,-1.66802307,-6.671172995,-2.015412054,-4.048000669,-4.774232193
1,1169,0,0,10,0,0,0,0,0,0,-4.615120517,-4.615120517,2.3036833907,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517
1,1183,0,,,,,0,40,,1,-4.615120517,-1.434404417,3.116533716,-0.564210794,-1.858478827,-4.615120517,3.6892892062,-1.889572188
1,1270,0,0,,0,0,,,,0,-4.615120517,-4.615120517,-2.289495936,-4.615120517,-4.615120517,-4.578493591,-2.059663113,-0.476985103
1,1404,0,5,0,20,0,0,10,10,1,-4.615120517,1.6115190786,-4.615120517,2.9963493671,-4.615120517,-4.615120517,2.3036833907,2.3036833907
1,1407,0,25,30,25,10,10,45,10,1,-4.615120517,3.2194020022,3.4016667551,3.2194020022,2.3036833907,2.3036833907,3.8070592365,2.3036833907
1,1551,0,0,0,0,0,,,,1,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.932160986,0.7368811157,-0.126556102
1,1681,0,50,50,5,,,,,0,-4.615120517,3.9124150854,3.9124150854,1.6115190786,-2.878639863,2.52744165,3.5833969469,2.4572450202
1,1722,0,0,0,0,0,0,,,0,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.615120517,-4.148269977,-7.306652507
1,1748,0,,,,,,,,0,-4.615120517,3.3003214417,3.5974220083,-0.537743888,0.3551723529,3.9339113794,1.8887321622,-1.345804304
1,1811,0,50,0,0,20,2,,,0,-4.615120517,3.9124150854,-4.615120517,-4.615120517,2.9963493671,0.6981849746,-0.560804394,-4.088689035
1,135,1,0,0,1,2,2,10,0,1,0.0099503309,-4.615120517,-4.615120517,0.0099503309,0.6981849746,0.6981849746,2.3036833907,-4.615120517
1,968,1,2,,,,,,,0,0.0099503309,0.6981849746,0.6957048323,-1.069196824,-3.374752176,0.8477427357,-0.169111447,0.5744057908
1,15,2,30,20,,,80,,,0,0.6981849746,3.4016667551,2.9963493671,5.5157636741,-0.253156626,4.3826216957,7.4382298237,4.6173913821
1,312,2,20,15,35,1,1,2,20,0,0.6981849746,2.9963493671,2.7088250946,3.5557808682,0.0099503309,0.0099503309,0.6981849746,2.9963493671
1,899,2,20,6,12,2,,,,0,0.6981849746,2.9963493671,1.7935123181,2.4858425413,0.6981849746,-1.80779087,3.1846545729,-2.260896645
1,1643,2,,2,2,0,20,5,,0,0.6981849746,5.2703904449,0.6981849746,0.6981849746,-4.615120517,2.9963493671,1.6115190786,5.3911194939
1,129,3,,,,,,,,0,1.1020078777,2.2658130952,1.5602902235,-2.195456637,-0.326737666,-0.276888995,2.5217882723,4.508967202
1,468,4,50,50,50,20,20,50,30,1,1.3888683651,3.9124150854,3.9124150854,3.9124150854,2.9963493671,2.9963493671,3.9124150854,3.4016667551
